"text","source","url"
"‘Inspired by Nepal’s Gen-Z protests’: 4 Youth Congress workers sent to 5-day custody for 'topless' protest A Delhi court granted police five-day custody of four Youth Congress workers who staged a shirtless protest at the AI summit venue. Police allege a conspiracy to defame India, citing anti-national slogans and T-shirts targeting the Prime Minister. Investigators are probing potential foreign funding and a larger plot, with three officers reportedly injured during the incident.","Times of India","https://timesofindia.indiatimes.com/india/inspired-by-nepals-gen-z-protests-delhi-police-on-congress-shirtless-march-at-ai-summit/articleshow/128637308.cms"
"Delhi on alert: Lashkar-e-Taiba ‘plotting’ IED attack near Red Fort, Chandni Chowk area Delhi faces a terror threat alert near the Red Fort. Intelligence suggests Lashkar-e-Taiba may target a temple in Chandni Chowk with an IED. This potential strike aims to avenge a recent mosque blast in Pakistan. Prominent religious sites across India are on the group's radar. Security has been heightened in the capital's sensitive areas.","Times of India","https://timesofindia.indiatimes.com/city/delhi/lashkar-e-taiba-plotting-ied-attack-in-delhis-chandni-chowk-area-report/articleshow/128633499.cms"
"Who is behind wheels? In high-profile car crashes, no one seems to be 'driving' In India's high-profile luxury car crashes, a recurring defence emerges: a hired driver was at the wheel. Investigations often uncover conflicting claims, with authorities relying on CCTV, eyewitnesses, and forensic evidence to establish the true driver. This pattern highlights the challenges in determining responsibility and the vulnerability of drivers in such cases.","Times of India","https://timesofindia.indiatimes.com/city/delhi/who-is-behind-wheels-in-high-profile-car-crashes-no-one-seems-to-be-driving/articleshow/128635855.cms"
"Pakistan vs New Zealand Super 8s: Venue stats, head-to-head, weather forecast New Zealand's middle order faces a stern test against Pakistan's spin attack in their T20 World Cup Super Eight opener. The Kiwis' batting has yet to hit its stride, while Pakistan's spinners are well-accustomed to Colombo's slow conditions. Rain threatens to disrupt the crucial encounter, with no reserve day available.","Times of India","https://timesofindia.indiatimes.com/sports/cricket/icc-mens-t20-world-cup/pakistan-vs-new-zealand-super-8s-t20-world-cup-2026-venue-stats-head-to-head-weather-forecast/articleshow/128638464.cms"
"Jeff Bezos's ex-wife's record $7.2 bn donation in 2025 called 'Bad donation', Musk agrees Philanthropist MacKenzie Scott has donated billions rapidly, but Y Combinator CEO Garry Tan criticizes her approach, calling it ""bad"" due to a lack of oversight and accountability. Tan argues this ""spray and pray"" method can lead to mismanagement and unintended negative consequences for recipient organizations.","Times of India","https://timesofindia.indiatimes.com/technology/tech-news/jeff-bezoss-ex-wife-mackenzie-scotts-record-7-2-billion-donation-in-2025-called-bad-donation-and-elon-musk-agrees-with-it-says-/articleshow/128639354.cms"
"'I love my man': Mahieka Sharma's romantic reply to Hardik Pandya goes viral Cricketer Hardik Pandya celebrated Mahieka Sharma's 25th birthday with a heartfelt Instagram post featuring a romantic video. Sharma reciprocated the affection, calling Pandya her ""best gift."" The couple, who confirmed their relationship in October 2025, has been seen together publicly since. Pandya was previously married to Natasa Stankovic.","Times of India","https://timesofindia.indiatimes.com/sports/cricket/news/i-love-my-man-mahieka-sharmas-romantic-reply-to-hardik-pandya-goes-viral/articleshow/128632359.cms"
"T20 World Cup 2026: How worried should India be about their Super 8 opponents The T20 World Cup's Super 8 stage marks the true beginning of the tournament, with India facing a tough path in Group 1. Despite an unbeaten group stage, concerns linger over opener Abhishek Sharma's form and the team's fielding ahead of crucial matches against South Africa, Zimbabwe, and the West Indies.","Times of India","https://timesofindia.indiatimes.com/sports/cricket/icc-mens-t20-world-cup/t20-world-cup-2026-how-worried-should-india-be-about-their-super-8-opponents/articleshow/128633289.cms"
"Heated arguments, then multiple gunshots: Man shoots wife dead over marital dispute in Faridabad A 32-year-old woman, Sangeeta, was fatally shot by her husband, Dilip Yadav, during a marital dispute in Faridabad. The couple was undergoing divorce proceedings. Dilip, accompanied by family, confronted Sangeeta at her parents' home, leading to an argument and the fatal shooting. Both Dilip and his brother-in-law are currently at large.","Times of India","https://timesofindia.indiatimes.com/city/faridabad/heated-arguments-then-multiple-gunshots-man-shoots-wife-dead-over-marital-dispute-in-faridabad/articleshow/128636006.cms"
"Infosys CEO Salil Parekh talks about AI tools replacing engineers Infosys CEO Salil Parekh reassures that AI will augment, not decimate, IT jobs, projecting a thriving Indian IT industry by 2030. He highlights the need for engineering expertise to integrate AI into enterprises and notes a positive US business environment. Infosys continues campus hiring, anticipating increased demand for skilled professionals.","Times of India","https://timesofindia.indiatimes.com/technology/tech-news/infosys-ceo-salil-parekh-on-ai-tools-replacing-engineers-it-is-not-that-overnight-everything-is-going-to-be-replaced-as-in-large-companies-/articleshow/128622632.cms"
"BJP protests nationwide in response to Congress' 'topless' AI Summit protest BJP staged nationwide protests after Indian Youth Congress workers disrupted the India AI Impact Summit, displaying slogans against PM Modi. Four IYC leaders were arrested. BJP workers also showed black flags to Rahul Gandhi in Mumbai, accusing the Congress of an 'anti-national' act and demanding an apology for the 'shameful' summit disruption.","Times of India","https://timesofindia.indiatimes.com/india/bjp-protests-nationwide-in-response-to-congress-topless-ai-summit-protest-four-iyc-leaders-arrested/articleshow/128636375.cms"
"Ranbir Kapoor family leases 5 floors for 20 years for New RK studios In a bold move to honor the RK Studios heritage, Ranbir Kapoor is set to transform five floors in Andheri East into a cutting-edge facility. This remarkable studio will cover a vast 250,000 sq ft and include top-notch virtual production spaces, VFX studios, cutting-edge music and editing suites, exclusive screening rooms, and opulent green rooms. Read on to know more in detail.","Times of India","https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/ranbir-kapoor-and-family-lease-5-floors-for-20-years-to-set-up-new-rk-studios-in-andheri-check-out-detailed-plan-report/articleshow/128636489.cms"
"Perplexity seems to have joined Anthropic in 'trolling' Sam Altman Perplexity is reportedly distancing itself from OpenAI's ad-based monetization strategy for chatbots, aligning with Anthropic's approach. The AI search startup plans to focus on subscription and enterprise revenue, emphasizing user trust over advertising. This move comes as Perplexity expands its enterprise sales push, targeting organizations and professional users.","Times of India","https://timesofindia.indiatimes.com/technology/tech-news/perplexity-seems-to-have-joined-anthropic-in-trolling-sam-altman-says-no-to-/articleshow/128637850.cms"
"'KHxRK' reunion: Rajinikanth and Kamal Haasan reunite for a quirky film Superstars Rajinikanth and Kamal Haasan have reunited for a quirky film, tentatively titled 'KHxRK', with Nelson Dilipkumar directing. The promo, released today, has generated significant buzz, hinting at a blend of humor, nostalgia, and visual appeal. Anirudh Ravichander is composing the music for this highly anticipated project, promising a vintage cinematic experience for fans after a 45-year gap.","Times of India","https://timesofindia.indiatimes.com/entertainment/tamil/movies/news/khxrk-reunion-rajinikanth-and-kamal-haasan-reunite-for-a-quirky-film-nelson-dilipkumar-to-direct-the-historical-film/articleshow/128636382.cms"
"Footage shows highway swallowed by gas cloud after Chile truck explosion — watch A liquefied gas truck explosion on a highway in Santiago, Chile, resulted in at least four fatalities and 17 injuries. The blast, which occurred in the Renca district, sent a large gas cloud across the highway and damaged numerous vehicles. President Gabriel Boric confirmed government teams are assisting affected populations due to smoke in the area.","Times of India","https://timesofindia.indiatimes.com/world/rest-of-world/footage-shows-highway-swallowed-by-gas-cloud-after-chile-truck-explosion-watch/articleshow/128637165.cms"
"New Zealand wary of Usman Tariq threat but back familiarity against Pakistan The Super 8 stage kicks off with a crucial clash between Pakistan and New Zealand in Colombo. Pakistan holds a slight edge due to their spin attack, particularly mystery spinner Usman Tariq. New Zealand, familiar with Pakistan's bowling, will rely on their middle order to counter the threat.","Times of India","https://timesofindia.indiatimes.com/sports/cricket/icc-mens-t20-world-cup/pak-vs-nz-super-8-showdown-new-zealand-wary-of-usman-tariq-threat-but-back-familiarity-against-pakistan/articleshow/128635541.cms"
